,species,model,structure,c44_fcc,miller_indices,surface_energy_110_fcc,model_type,model_base_type,c44_fcc_avg,surface_energy_110_fcc_avg
24,Ag,EAM_Dynamo_HaleWongZimmerman_2008PairMorse_PdAgH__MO_108983864770_005,fcc,46.550735750042286,"[1, 1, 1]",0.053815516247202946,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
25,Ag,EAM_Dynamo_HaleWongZimmerman_2008PairMorse_PdAgH__MO_108983864770_005,fcc,46.550735750042286,"[1, 0, 0]",0.05869715669748678,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
26,Ag,EAM_Dynamo_HaleWongZimmerman_2008PairMorse_PdAgH__MO_108983864770_005,fcc,46.550735750042286,"[1, 2, 1]",0.06184736222433604,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
27,Ag,EAM_Dynamo_HaleWongZimmerman_2008PairMorse_PdAgH__MO_108983864770_005,fcc,46.550735750042286,"[1, 1, 0]",0.06346591023517997,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
28,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_Ag__MO_131620013077_005,fcc,46.55294782545402,"[1, 1, 1]",0.05381512171548712,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
29,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_Ag__MO_131620013077_005,fcc,46.55294782545402,"[1, 0, 0]",0.058696804451714574,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
30,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_Ag__MO_131620013077_005,fcc,46.55294782545402,"[1, 2, 1]",0.06184612897375143,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
31,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_Ag__MO_131620013077_005,fcc,46.55294782545402,"[1, 1, 0]",0.0634650449627423,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
32,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_CuAg__MO_128703483589_005,fcc,46.55294786712438,"[1, 1, 1]",0.05381512171490902,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
33,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_CuAg__MO_128703483589_005,fcc,46.55294786712438,"[1, 0, 0]",0.05869680445012351,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
34,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_CuAg__MO_128703483589_005,fcc,46.55294786712438,"[1, 2, 1]",0.061846128970442345,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
35,Ag,EAM_Dynamo_WilliamsMishinHamilton_2006_CuAg__MO_128703483589_005,fcc,46.55294786712438,"[1, 1, 0]",0.06346504496096422,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
36,Ag,EAM_Dynamo_WuTrinkle_2009_CuAg__MO_270337113239_005,fcc,47.148928773602314,"[1, 1, 1]",0.05381523233291295,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
37,Ag,EAM_Dynamo_WuTrinkle_2009_CuAg__MO_270337113239_005,fcc,47.148928773602314,"[1, 0, 0]",0.058697101349507994,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
38,Ag,EAM_Dynamo_WuTrinkle_2009_CuAg__MO_270337113239_005,fcc,47.148928773602314,"[1, 2, 1]",0.06184600939235148,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
